community_name,plate,site,age,building_density,building_type,house_count,building_count,green_rate,avr_price,develop_company,lat,lng,address,community_id,growth
清河路181号,嘉定新城,嘉定老城,26,0,板楼,29,3,0,17459,暂无信息,31.3933,121.257,{清河路181号},508305017630876,0.282290963123
迎亭公寓,高行,高行,12,1.5,Null,347,32,40,42757,上海鑫伟房地产开发有限公司、上海华高房地产开发经营有限公司,31.3028,121.612,{金高路58弄},5011000009274,0.396423738585
龙水北路989弄,龙华,龙华,19,0,Null,24,2,0,46163,暂无信息,31.1783,121.455,{龙水北路989弄},5011000008678,0.282283340869
盆山阁,嘉定老城,嘉定老城,19,0,Null,97,9,0,20433,暂无信息,31.3912,121.264,{金沙路253弄},5011000008628,0.447067188055
淞滨支路120弄,淞宝,淞宝,22,2,Null,264,12,42,26349,北辰集团,31.3753,121.494,{淞滨支路120弄},5011000006783,0.282327036425
南洋新华公寓,新华路,新华路,21,1.5,Null,48,5,35,58727,洪光集团,31.212,121.428,{新华路590弄13-21号},5011000017347,0.315488786748
企业天地四期,三林,三林,2,0,Null,0,2,0,Null,暂无信息,31.1582,121.489,{济阳路林耀路东育路前耀路交叉口},509821540057692,Null
金汇商业广场,松江老城,松江老城,Null,0,Null,3,3,0,14987,暂无信息,31.0086,121.258,{同利路59号},5011000015297,0.28231073064
安顺路363号,虹桥,虹桥,23,0,Null,25,2,0,42620,上海新长宁集团有限公司,31.2063,121.416,{安顺路363号},5011000001635,0.282281069206
汉口路407号,南京东路,南京东路,19,0,Null,27,2,0,Null,暂无信息,31.2408,121.489,{汉口路407号},5011000008612,Null
青年路300号,七宝,七宝,30,1.9,Null,20,2,5,35034,政府动迁,31.16,121.358,{青年路300号},5011000020008,0.282249351226
中山北路197弄,闸北公园,闸北公园,34,0,Null,147,6,0,59510,上海兴海房地产开发有限公司,31.2712,121.477,{中山北路197弄},5011000019548,0.28227433232
中山南一路1042号,世博滨江,世博滨江,32,0,Null,24,2,0,67652,暂无信息,31.2009,121.478,{中山南一路1042号},5011102207617,0.282291421549
阳山花苑三区,浒关,浒关,Null,0,Null,1145,35,0,12490,暂无信息,31.3797,120.497,{建林路802号},2311057076163,0.0818474130371
桂平科技园,漕河泾,漕河泾,14,0,Null,9,5,0,11733,暂无信息,31.1829,121.407,{钦州北路1199号},5011000003957,-0.00827238655183
松江商业广场,松江新城,松江新城,14,0,板楼,16,10,0,21964,暂无信息,31.0384,121.241,"{谷阳北路1405号,"" 翔峰路371弄"","" 谷阳北路1425弄""}",5011000000873,-0.00706797630448
张江高科技园,张江,张江,Null,0,Null,9,4,0,Null,暂无信息,31.1942,121.602,{华佗路800弄},5011102207526,Null
塔城东路492弄,新成路,新成路,21,0,Null,96,8,0,16686,暂无信息,31.3933,121.27,{塔城东路492弄},5011000006958,0.282310040706
巨鹿路304号,淮海中路,淮海中路,Null,2,Null,1,2,2,Null,巨鹿开发商,31.2292,121.466,{巨鹿路304号},5011000005933,Null
石门二路305号,南京西路,南京西路,22,2,Null,1,2,20,Null,暂无信息,31.242,121.466,{石门二路305号},5011000008445,Null
龙恒路260弄,龙华,龙华,29,2.5,Null,81,7,35,33624,徐房物业,31.1734,121.456,{龙恒路260弄},5011000005114,0.282259365509
喆苑,松江新城,松江新城,Null,0,板楼,24,5,0,22939,暂无信息,31.0334,121.229,"{人民北路1170弄,"" 龙兴路218弄"","" 江峰路218弄""}",5011000000877,0.434417664491
雁荡路55弄,淮海中路,淮海中路,66,1.7,Null,10,14,35,Null,上海海富置业有限公司,31.226,121.477,{雁荡路55弄},5011000009119,Null
南阳路237号,南京西路,南京西路,Null,0,Null,1,2,0,Null,暂无信息,31.2336,121.456,{南阳路237号},5011000010338,Null
施三路73弄,金山,金山,33,0,Null,25,4,0,5578,暂无信息,30.7312,121.334,{施三路73弄},5011000004369,0.282367864693
京华路158弄,徐泾,徐泾,21,0,Null,112,6,0,Null,暂无信息,31.1761,121.281,{京华路158弄},509821540058005,Null
泰兴路89号,南京西路,南京西路,Null,0,Null,1,2,0,Null,暂无信息,31.235,121.467,{泰兴路89号},5011000009927,Null
北苏州路814弄,北外滩,北外滩,80,0,Null,35,36,0,Null,暂无信息,31.2497,121.497,{北苏州路814弄},5011102208206,Null
文汇小区（长宁）,中山公园,中山公园,30,0,Null,280,18,0,39628,暂无信息,31.228,121.424,{汇川路300弄550-582号},5011000012595,0.282315131677
延庆路110弄,衡山路,衡山路,86,1.5,Null,24,7,26,Null,嘉禾,31.2214,121.457,{延庆路110弄1-6号},5011000009316,Null
陕西北路729弄,江宁路,江宁路,24,1.8,Null,71,3,30,69821,静安房地产有限公司,31.2405,121.457,{陕西北路729弄},5011000015933,0.282278072681
中山东路301号,松江老城,松江老城,35,0,Null,24,2,0,Null,暂无信息,31.0125,121.249,{中山东路301号},5011000019858,Null
马桥镇中街155弄,马桥,马桥,Null,0,板楼,15,1,0,Null,Null,31.0354,121.378,{马桥镇中街155弄},5010797898019403,Null
万科柏林映像,安亭,嘉定安亭,Null,0,Null,0,1,0,Null,暂无信息,0,0,{安礼路南安德路},509821540058105,Null
四达路166弄,鲁迅公园,鲁迅公园,26,0,Null,40,3,0,44939,暂无信息,31.2739,121.494,{四达路166弄},5011000005969,0.282260328789
德华路251号,南翔,南翔,Null,0,Null,25,3,0,Null,暂无信息,31.3015,121.321,{德华路251号},509821540057327,Null
复地金石湾领墅,山阳,山阳,35,0,Null,40,28,0,Null,暂无信息,30.7564,121.37,{浦卫公路16299号},5011000013235,Null
